sequence_id,method,first_token,reason,after_failure_not_run
rtpa_v04_associative_recall_confirm0,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm1,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm1,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm1,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm2,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm2,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm2,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm3,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm3,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm3,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
